Subject geographic 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Ayacucho, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Apurimac, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Apurimac, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Apurimac, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru","Huancavelica, Peru","Pasco, Peru","Cajamarca, Peru","Chiclayo, Peru",Peru,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Apurimac, Peru","Callao, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Ayacucho, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Piura, Peru","Lima, Peru","Puno, Peru","Huancavelica, Peru","San Martín, Peru","Loreto, Peru","Junín, Peru","Pasco, Peru","Huánuco, Peru","Cajamarca, Peru","Tumbes, Peru","Ondores, Peru",Peru,Nicaragua,,,,,,,,,,,
"Junín, Peru","Ondores, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Ayacucho, Peru","Junín, Peru",Peru,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Ayacucho, Peru","Junín, Peru","Ancash, Peru","Lambayeque, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Ayacucho, Peru","Ancash, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Apurimac, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Huancavelica, Peru","Ayacucho, Peru","Callao, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Arequipa, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","San Martín, Peru","Junín, Peru","Cajamarca, Peru",Amazonas,Peru,,,,,,,,,,,,,,,
"Lima, Peru","Apurimac, Peru","Ayacucho, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru","Churcampa, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Apurimac, Peru","Ancash, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Arequipa, Peru","Ayacucho, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru","Ica, Peru","Junín, Peru","Huánuco, Peru","Lambayeque, Peru",Peru,,,,,,,,,,,,,,,,,,,
"Lima, Peru","La Libertad, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Loreto, Peru","Pasco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Piura, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"San Martín, Peru","Ucayali, Peru","Tumbes, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Cusco, Peru","La Libertad, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","Ayacucho, Peru","Ancash, Peru","Lambayeque, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,
"Lima, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Junín, Peru","Huánuco, Peru","Ancash, Peru","La Libertad, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,
"Lima, Peru","La Libertad, Peru","Lambayeque, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Puno, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Pasco, Peru",Peru,,,,,,,,,,,,,,,,,
"Lima, Peru","Arequipa, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Loreto, Peru","Junín, Peru","Ancash, Peru",Peru,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Arequipa, Peru","Cusco, Peru","Apurimac, Peru","Ancash, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,
"Lima, Peru","Huancavelica, Peru","Loreto, Peru","Junín, Peru","La Libertad, Peru",Peru,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Puno, Peru","San Martín, Peru","Pasco, Peru","Tumbes, Peru",Peru,,,,,,,,,,,,,,,,,,
"Piura, Peru","Arequipa, Peru","Puno, Peru","Huancavelica, Peru","Ica, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Ancash, Peru","La Libertad, Peru",Peru,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Apurimac, Peru","Huancavelica, Peru","Ayacucho, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Arequipa, Peru","Apurimac, Peru","Huancavelica, Peru","Junín, Peru","Pasco, Peru","Ancash, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,
"Lima, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ayacucho, Peru","Huánuco, Peru","Ancash, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,
"Puno, Peru","Cusco, Peru","Apurimac, Peru","Ayacucho, Peru","San Martín, Peru","Ucayali, Peru","Junín, Peru","La Libertad, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,
"Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ayacucho, Peru","Junín, Peru","Ancash, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Tacna, Peru","Cusco, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Huánuco, Peru","Lambayeque, Peru",Peru,,,,,,,,,,,,,,
"Lima, Peru","Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Cusco, Peru","Ica, Peru","Junín, Peru","Pasco, Peru","La Libertad, Peru","Lambayeque, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,
"Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Arequipa, Peru","Puno, Peru","Apurimac, Peru","Loreto, Peru","Ucayali, Peru","Ancash, Peru",Peru,,,,,,,,,,,,,,,,,,
"Puno, Peru","Cusco, Peru","Junín, Peru","Pasco, Peru","La Libertad, Peru","Lambayeque, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru","Apurimac, Peru","Loreto, Peru","Lambayeque, Peru",Peru,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Ica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Puno, Peru","Tacna, Peru","Moquegua, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","Ayacucho, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Ancash, Peru","La Libertad, Peru","Cajamarca, Peru",Peru,,,,,,,
"Lima, Peru","Apurimac, Peru","Ica, Peru","Ucayali, Peru","Junín, Peru",Peru,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Ica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","San Martín, Peru","Loreto, Peru","Junín, Peru","Pasco, Peru","Huánuco, Peru","Ancash, Peru","La Libertad, Peru","Cajamarca, Peru","Tumbes, Peru","Lambayeque, Peru",Peru,,,,,,,
"Lima, Peru","Piura, Peru","Puno, Peru","Cusco, Peru","Junín, Peru","Pasco, Peru","Ancash, Peru","La Libertad, Peru","Lambayeque, Peru",Peru,,,,,,,,,,,,,,,
"Cusco, Peru","Apurimac, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,
"Tacna, Peru","Apurimac, Peru","Loreto, Peru",Amazonas,Peru,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Ancash, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Ica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Cusco, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Tacna, Peru","Loreto, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
